id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bethesda Senior Center,asian,50812214.603438474,14503,3503.56578662611
Bethesda Senior Center,black,79931642.4411964,21496,3718.4426144955523
Bethesda Senior Center,hispanic,98243503.29364762,28097,3496.5833823414464
Bethesda Senior Center,native,3219561.625966049,940,3425.0655595383496
Bethesda Senior Center,population,318360644.39479065,87663,3631.6421340222287
Bethesda Senior Center,white,91285477.74015531,24327,3752.4346503948414
Bogan Park Community Recreation Center,asian,30045214.141451422,6476,4639.47099157681
Bogan Park Community Recreation Center,black,50929740.84156375,9742,5227.8526833877795
Bogan Park Community Recreation Center,hispanic,45361819.45011665,9133,4966.803837744076
Bogan Park Community Recreation Center,native,1481056.186307172,314,4716.739446838127
Bogan Park Community Recreation Center,population,300085874.026517,57314,5235.821510041473
Bogan Park Community Recreation Center,white,171298049.7853948,31582,5423.913931524121
Dacula Park Activity Building,asian,18720979.87931069,3561,5257.2254645635185
Dacula Park Activity Building,black,55096695.776752256,12250,4497.689451163449
Dacula Park Activity Building,hispanic,30754407.13921463,6743,4560.938327037614
Dacula Park Activity Building,native,952977.7240730515,220,4331.71692760478
Dacula Park Activity Building,population,242380608.30453432,49328,4913.651644188581
Dacula Park Activity Building,white,134378971.19513816,26113,5146.056416158165
Gas South-Hudgens Center for Arts,asian,57511052.17612071,17747,3240.6069857508714
Gas South-Hudgens Center for Arts,black,46960781.271437205,13193,3559.52257041137
Gas South-Hudgens Center for Arts,hispanic,38656620.71127775,10002,3864.8890933091134
Gas South-Hudgens Center for Arts,native,1167668.9057655705,297,3931.545137257813
Gas South-Hudgens Center for Arts,population,224652268.13160604,62775,3578.6900538686746
Gas South-Hudgens Center for Arts,white,79888675.28328367,21284,3753.4615337006044
George Pierce Park Community Recreation Center,asian,54939146.70387659,14189,3871.9533937470287
George Pierce Park Community Recreation Center,black,45530592.25301923,10078,4517.820227527211
George Pierce Park Community Recreation Center,hispanic,39446248.4261129,8138,4847.167415349336
George Pierce Park Community Recreation Center,native,1122197.0130876736,254,4418.098476723124
George Pierce Park Community Recreation Center,population,304564127.5664384,68226,4464.047834644247
George Pierce Park Community Recreation Center,white,159933491.09373322,34684,4611.16050898781
Gwinnett County Fairgrounds,asian,22817315.23308316,6669,3421.399795034212
Gwinnett County Fairgrounds,black,64365766.516113944,16876,3814.0416281176786
Gwinnett County Fairgrounds,hispanic,26535056.28636425,7780,3410.6756152139137
Gwinnett County Fairgrounds,native,1386443.4552001893,361,3840.5635878121584
Gwinnett County Fairgrounds,population,208531129.7096325,55530,3755.287767146272
Gwinnett County Fairgrounds,white,91174903.38602768,23382,3899.362902490278
Gwinnett County fire station - Potential 30,asian,5737475.613443996,1319,4349.867788812734
Gwinnett County fire station - Potential 30,black,60229157.427873485,13804,4363.167011581678
Gwinnett County fire station - Potential 30,hispanic,19939521.071103305,4175,4775.933190683426
Gwinnett County fire station - Potential 30,native,625015.9088109718,128,4882.936787585717
Gwinnett County fire station - Potential 30,population,151120925.1518009,34184,4420.808716118679
Gwinnett County fire station - Potential 30,white,62326088.04215055,14230,4379.907803383735
Lenora Park Gym,asian,9691439.042006677,1914,5063.447775343091
Lenora Park Gym,black,142066003.87040177,30408,4671.994339331813
Lenora Park Gym,hispanic,29629318.386954937,5743,5159.205709029242
Lenora Park Gym,native,1169235.8575970966,237,4933.484631211378
Lenora Park Gym,population,256373604.30776042,52645,4869.856668397007
Lenora Park Gym,white,69184644.36882907,13376,5172.2969773347095
Lucky Shoals Park Community Recreation Center,asian,28652214.930960752,9315,3075.922161133736
Lucky Shoals Park Community Recreation Center,black,41252061.48428087,13094,3150.4552836628127
Lucky Shoals Park Community Recreation Center,hispanic,97810576.41707957,29203,3349.333164985774
Lucky Shoals Park Community Recreation Center,native,3945684.942361966,1185,3329.6919344826715
Lucky Shoals Park Community Recreation Center,population,195979454.23383772,60621,3232.864093859186
Lucky Shoals Park Community Recreation Center,white,33679508.89755204,10555,3190.8582565184315
Mountain Park Activity Building,asian,19534623.35524109,5710,3421.1249308653396
Mountain Park Activity Building,black,45563170.53703545,10057,4530.493242222875
Mountain Park Activity Building,hispanic,17810087.390215907,4329,4114.134301274175
Mountain Park Activity Building,native,1005481.2323094747,245,4104.0050298345905
Mountain Park Activity Building,population,148851874.28494227,38912,3825.346275826025
Mountain Park Activity Building,white,63340394.06058034,18057,3507.802739136088
Pinckneyville Park Community Recreation Center,asian,46659868.458044924,12928,3609.2101220641184
Pinckneyville Park Community Recreation Center,black,81472644.21772143,18357,4438.233056475537
Pinckneyville Park Community Recreation Center,hispanic,83636318.15478562,20114,4158.114654210282
Pinckneyville Park Community Recreation Center,native,2885555.3733049366,689,4188.0339235195015
Pinckneyville Park Community Recreation Center,population,344718814.89240766,83146,4145.945865013442
Pinckneyville Park Community Recreation Center,white,130665066.36853261,31169,4192.14817185449
Rhodes Jordan Park Community Recreation Center,asian,24649954.803676512,5320,4633.450151067013
Rhodes Jordan Park Community Recreation Center,black,70194529.05624986,19470,3605.2660018618312
Rhodes Jordan Park Community Recreation Center,hispanic,48552982.93629319,13202,3677.6990559228293
Rhodes Jordan Park Community Recreation Center,native,2169214.778475838,594,3651.876731440804
Rhodes Jordan Park Community Recreation Center,population,232470042.59843856,59140,3930.842789963452
Rhodes Jordan Park Community Recreation Center,white,88029098.65054625,21028,4186.280133657326
