demographic,weighted_dist,avg_dist,demo_res_obj_summand,demo_pop,avg_KP_weight,y_EDE
asian,17143913.914994135,3137.612356331284,37151.95550190183,5464,6.799406204594039,3616.721015981159
black,873482661.6511039,3237.6751350180098,2042079.4592737437,269787,7.56922853685961,3819.0934097587096
hispanic,468033581.5245767,3191.3048740587124,1021781.6445025535,146659,6.967057217781067,3662.679477133776
native,613045858.1958894,3246.6350228830365,1387446.4373769087,188825,7.347789950360962,3763.070793465728
population,2268989323.8574758,3198.0838522890945,5106549.166267896,709484,7.1975536675497915,3724.092169889899
white,2051493919.0898578,3195.294218844205,4619895.719920322,642036,7.195695755254102,3723.6050604231605
