id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350501212,34.1193852,-84.0577616,population,73729394.7716676,27818,2650.42040303644
131350503111,33.9513906,-84.2196937,population,177845276.474107,55156,3224.40489654991
131350505542,33.9239191,-84.0888064,population,258664692.941407,80825,3200.3055111835
131350505722,34.0147717,-83.9941712,population,144268620.344542,46736,3086.88420798832
131350506173,34.0749013,-83.8927159,population,119086361.811596,33385,3567.06190838987
131350506252,33.9136192,-83.8657073,population,81784786.5850862,20652,3960.13880423621
131350507252,33.8371277,-84.0530097,population,143868552.989989,46329,3105.36711325495
131350507522,33.856398,-83.9590106,population,114064185.919793,36551,3120.68577931637
Bogan Park Community Recreation Center,34.10593,-83.9682,population,81108068.505829,27176,2984.54770775055
Dacula Park Activity Building,33.9961,-83.89283,population,92624563.2833188,26968,3434.61002978785
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,138788961.165727,43847,3165.30118744103
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,100751434.003981,33483,3009.03246435447
Gwinnett County Fairgrounds,33.91845,-83.988,population,127713124.794459,42248,3022.93895082511
Lenora Park Gym,33.78823,-84.00129,population,57694952.8479897,19755,2920.52406216096
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,155405663.485703,53616,2898.49417124931
Mountain Park Activity Building,33.84508,-84.13328,population,74258984.8917092,26171,2837.45309280154
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,124601206.54308,39957,3118.38242468354
Shorty Howell Park Activity Building,33.97391,-84.14712,population,138045215.660846,48811,2828.15790827571
