id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350505542,33.9239191,-84.0888064,population,309317795.077046,90166,3430.536954917
131350506182,34.0613502,-83.902574,population,167658071.537495,43695,3837.00815968634
131350507444,33.8822106,-83.9118306,population,168060588.999666,39225,4284.52744422348
Bogan Park Community Recreation Center,34.10593,-83.9682,population,139615772.946105,35845,3894.98599375379
Dacula Park Activity Building,33.9961,-83.89283,population,122567444.139864,30161,4063.77255859767
Gas South-Hudgens Center for Arts,33.99165,-84.09391,population,200458011.908112,57108,3510.15640379828
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,304299274.753676,68192,4462.38964620008
Gwinnett County Fairgrounds,33.91845,-83.988,population,183709498.694377,51170,3590.17976733198
Lenora Park Gym,33.78823,-84.00129,population,243136814.036552,50817,4784.55662547084
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,197938146.360831,60971,3246.43103050353
Mountain Park Activity Building,33.84508,-84.13328,population,163664930.136035,41486,3945.06412129477
Pinckneyville Park Community Recreation Center,33.97062,-84.18529,population,344076393.175263,83026,4144.20052965653
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,223665165.130874,57622,3881.59323055211
